city_name;city_code;age;sex;measurement_date;value;unit
Prov. Vlaams-Brabant;BE24;Less than 5 years old;Total;2022;60333;Number
Prov. West-Vlaanderen;BE25;Less than 5 years old;Females;2004;26833;Number
Prov. West-Vlaanderen;BE25;Less than 5 years old;Males;2004;27791;Number
Prov. West-Vlaanderen;BE25;Less than 5 years old;Total;2004;54624;Number
Prov. West-Vlaanderen;BE25;Less than 5 years old;Females;2010;28439;Number
Prov. West-Vlaanderen;BE25;Less than 5 years old;Males;2010;30035;Number
Prov. West-Vlaanderen;BE25;Less than 5 years old;Total;2010;58474;Number
Prov. West-Vlaanderen;BE25;Less than 5 years old;Females;2016;27868;Number
Prov. West-Vlaanderen;BE25;Less than 5 years old;Males;2016;29466;Number
Prov. West-Vlaanderen;BE25;Less than 5 years old;Total;2016;57334;Number
Prov. West-Vlaanderen;BE25;Less than 5 years old;Females;2022;27218;Number
Prov. West-Vlaanderen;BE25;Less than 5 years old;Males;2022;28425;Number
Prov. West-Vlaanderen;BE25;Less than 5 years old;Total;2022;55643;Number
Prov. Brabant wallon;BE31;Less than 5 years old;Females;2004;10370;Number
Prov. Brabant wallon;BE31;Less than 5 years old;Males;2004;10721;Number
Prov. Brabant wallon;BE31;Less than 5 years old;Total;2004;21091;Number
Prov. Brabant wallon;BE31;Less than 5 years old;Females;2010;10537;Number
Prov. Brabant wallon;BE31;Less than 5 years old;Males;2010;11100;Number
Prov. Brabant wallon;BE31;Less than 5 years old;Total;2010;21637;Number
Prov. Brabant wallon;BE31;Less than 5 years old;Females;2016;10259;Number
Prov. Brabant wallon;BE31;Less than 5 years old;Males;2016;10594;Number
Prov. Brabant wallon;BE31;Less than 5 years old;Total;2016;20853;Number
Prov. Brabant wallon;BE31;Less than 5 years old;Females;2022;9852;Number
Prov. Brabant wallon;BE31;Less than 5 years old;Males;2022;10200;Number
Prov. Brabant wallon;BE31;Less than 5 years old;Total;2022;20052;Number
Prov. Hainaut;BE32;Less than 5 years old;Females;2004;36231;Number
Prov. Hainaut;BE32;Less than 5 years old;Males;2004;38130;Number
Prov. Hainaut;BE32;Less than 5 years old;Total;2004;74361;Number
Prov. Hainaut;BE32;Less than 5 years old;Females;2010;37483;Number
Prov. Hainaut;BE32;Less than 5 years old;Males;2010;39316;Number
Prov. Hainaut;BE32;Less than 5 years old;Total;2010;76799;Number
Prov. Hainaut;BE32;Less than 5 years old;Females;2016;36544;Number
Prov. Hainaut;BE32;Less than 5 years old;Males;2016;38372;Number
Prov. Hainaut;BE32;Less than 5 years old;Total;2016;74916;Number
Prov. Hainaut;BE32;Less than 5 years old;Females;2022;33705;Number
Prov. Hainaut;BE32;Less than 5 years old;Males;2022;35212;Number
Prov. Hainaut;BE32;Less than 5 years old;Total;2022;68917;Number
Prov. Liège;BE33;Less than 5 years old;Females;2004;28010;Number
Prov. Liège;BE33;Less than 5 years old;Males;2004;29351;Number
Prov. Liège;BE33;Less than 5 years old;Total;2004;57361;Number
Prov. Liège;BE33;Less than 5 years old;Females;2010;29957;Number
Prov. Liège;BE33;Less than 5 years old;Males;2010;31006;Number
Prov. Liège;BE33;Less than 5 years old;Total;2010;60963;Number
Prov. Liège;BE33;Less than 5 years old;Females;2016;30386;Number
Prov. Liège;BE33;Less than 5 years old;Males;2016;31668;Number
Prov. Liège;BE33;Less than 5 years old;Total;2016;62054;Number
Prov. Liège;BE33;Less than 5 years old;Females;2022;28169;Number
Prov. Liège;BE33;Less than 5 years old;Males;2022;29425;Number
Prov. Liège;BE33;Less than 5 years old;Total;2022;57594;Number
Prov. Luxembourg (BE);BE34;Less than 5 years old;Females;2004;8011;Number
Prov. Luxembourg (BE);BE34;Less than 5 years old;Males;2004;8363;Number
Prov. Luxembourg (BE);BE34;Less than 5 years old;Total;2004;16374;Number
Prov. Luxembourg (BE);BE34;Less than 5 years old;Females;2010;8249;Number
Prov. Luxembourg (BE);BE34;Less than 5 years old;Males;2010;8636;Number
Prov. Luxembourg (BE);BE34;Less than 5 years old;Total;2010;16885;Number
Prov. Luxembourg (BE);BE34;Less than 5 years old;Females;2016;8072;Number
Prov. Luxembourg (BE);BE34;Less than 5 years old;Males;2016;8538;Number
Prov. Luxembourg (BE);BE34;Less than 5 years old;Total;2016;16610;Number
Prov. Luxembourg (BE);BE34;Less than 5 years old;Females;2022;7667;Number
Prov. Luxembourg (BE);BE34;Less than 5 years old;Males;2022;7969;Number
Prov. Luxembourg (BE);BE34;Less than 5 years old;Total;2022;15636;Number
Prov. Namur;BE35;Less than 5 years old;Females;2004;13167;Number
Prov. Namur;BE35;Less than 5 years old;Males;2004;13555;Number
Prov. Namur;BE35;Less than 5 years old;Total;2004;26722;Number
Prov. Namur;BE35;Less than 5 years old;Females;2010;13435;Number
Prov. Namur;BE35;Less than 5 years old;Males;2010;14146;Number
Prov. Namur;BE35;Less than 5 years old;Total;2010;27581;Number
Prov. Namur;BE35;Less than 5 years old;Females;2016;13395;Number
Prov. Namur;BE35;Less than 5 years old;Males;2016;13911;Number
Prov. Namur;BE35;Less than 5 years old;Total;2016;27306;Number
Prov. Namur;BE35;Less than 5 years old;Females;2022;12146;Number
Prov. Namur;BE35;Less than 5 years old;Males;2022;12832;Number
Prov. Namur;BE35;Less than 5 years old;Total;2022;24978;Number
Région lémanique;CH01;Less than 5 years old;Females;2004;34927;Number
Région lémanique;CH01;Less than 5 years old;Males;2004;36922;Number
Région lémanique;CH01;Less than 5 years old;Total;2004;71849;Number
Région lémanique;CH01;Less than 5 years old;Females;2010;37225;Number
Région lémanique;CH01;Less than 5 years old;Males;2010;39516;Number
Région lémanique;CH01;Less than 5 years old;Total;2010;76741;Number
Région lémanique;CH01;Less than 5 years old;Females;2016;40628;Number
