NUTS Region;CO;NO;NO2;O3;PM10;SO2
Ticino;0.2927593455299767;7.2383808008575645;20.002353352880583;54.09726771876606;16.035262428005453;1.8332898507053923
Trier;0.2626373748162946;12.113203481522572;21.92290026052064;;14.749502290959288;1.0241156056213971
Tübingen;0.2979008073656259;18.34204666201834;24.392622915452687;45.97425422914982;15.23106822215827;
Umbria;0.703890750778632;12.337148088598903;31.244788174822475;48.55849589542954;28.54062414004669;2.9996661640135813
Unterfranken;0.2770238051421072;9.569260758480551;22.100180135102487;46.122924776068366;14.93736018966978;
Utrecht;;6.064454633665913;18.97249510288612;46.70038797715441;16.42561668846612;
Zahodna Slovenija;0.3499690364380374;;21.456451511870007;41.058716084077375;20.76320939334638;3.0279304543721186
Zuid-Holland;;9.790299813619058;25.34240297580748;44.7494979724246;18.68327105326851;
Zürich;;4.711967293382468;13.808186066519262;46.59367635140709;11.347027318633884;
Área Metropolitana de Lisboa;0.2252215421142569;3.97946235462192;14.03554803375464;63.24697680157946;17.69411740492449;1.073329485709206
