city_name;city_code;value;measurement_date;name;unit
Prov. Vlaams-Brabant;BE24;1214;2010;Theft of a motorized land vehicle;1
Prov. West-Vlaanderen;BE25;10;2008;Intentional homicide;1
Prov. West-Vlaanderen;BE25;9;2009;Intentional homicide;1
Prov. West-Vlaanderen;BE25;12;2010;Intentional homicide;1
Prov. West-Vlaanderen;BE25;894;2008;Robbery;1
Prov. West-Vlaanderen;BE25;975;2009;Robbery;1
Prov. West-Vlaanderen;BE25;891;2010;Robbery;1
Prov. West-Vlaanderen;BE25;3224;2008;Burglary of private residential premises;1
Prov. West-Vlaanderen;BE25;3504;2009;Burglary of private residential premises;1
Prov. West-Vlaanderen;BE25;3376;2010;Burglary of private residential premises;1
Prov. West-Vlaanderen;BE25;1491;2008;Theft of a motorized land vehicle;1
Prov. West-Vlaanderen;BE25;1559;2009;Theft of a motorized land vehicle;1
Prov. West-Vlaanderen;BE25;1397;2010;Theft of a motorized land vehicle;1
Prov. Brabant wallon;BE31;7;2008;Intentional homicide;1
Prov. Brabant wallon;BE31;1;2009;Intentional homicide;1
Prov. Brabant wallon;BE31;10;2010;Intentional homicide;1
Prov. Brabant wallon;BE31;448;2008;Robbery;1
Prov. Brabant wallon;BE31;488;2009;Robbery;1
Prov. Brabant wallon;BE31;434;2010;Robbery;1
Prov. Brabant wallon;BE31;2467;2008;Burglary of private residential premises;1
Prov. Brabant wallon;BE31;2458;2009;Burglary of private residential premises;1
Prov. Brabant wallon;BE31;2334;2010;Burglary of private residential premises;1
Prov. Brabant wallon;BE31;710;2008;Theft of a motorized land vehicle;1
Prov. Brabant wallon;BE31;667;2009;Theft of a motorized land vehicle;1
Prov. Brabant wallon;BE31;577;2010;Theft of a motorized land vehicle;1
Prov. Hainaut;BE32;29;2008;Intentional homicide;1
Prov. Hainaut;BE32;24;2009;Intentional homicide;1
Prov. Hainaut;BE32;30;2010;Intentional homicide;1
Prov. Hainaut;BE32;3263;2008;Robbery;1
Prov. Hainaut;BE32;3418;2009;Robbery;1
Prov. Hainaut;BE32;3266;2010;Robbery;1
Prov. Hainaut;BE32;11789;2008;Burglary of private residential premises;1
Prov. Hainaut;BE32;13229;2009;Burglary of private residential premises;1
Prov. Hainaut;BE32;12435;2010;Burglary of private residential premises;1
Prov. Hainaut;BE32;5143;2008;Theft of a motorized land vehicle;1
Prov. Hainaut;BE32;4506;2009;Theft of a motorized land vehicle;1
Prov. Hainaut;BE32;3942;2010;Theft of a motorized land vehicle;1
Prov. Liège;BE33;32;2008;Intentional homicide;1
Prov. Liège;BE33;26;2009;Intentional homicide;1
Prov. Liège;BE33;28;2010;Intentional homicide;1
Prov. Liège;BE33;2497;2008;Robbery;1
Prov. Liège;BE33;2672;2009;Robbery;1
Prov. Liège;BE33;2907;2010;Robbery;1
Prov. Liège;BE33;8561;2008;Burglary of private residential premises;1
Prov. Liège;BE33;9156;2009;Burglary of private residential premises;1
Prov. Liège;BE33;8696;2010;Burglary of private residential premises;1
Prov. Liège;BE33;3940;2008;Theft of a motorized land vehicle;1
Prov. Liège;BE33;3580;2009;Theft of a motorized land vehicle;1
Prov. Liège;BE33;3223;2010;Theft of a motorized land vehicle;1
Prov. Luxembourg (BE);BE34;2;2008;Intentional homicide;1
Prov. Luxembourg (BE);BE34;5;2009;Intentional homicide;1
Prov. Luxembourg (BE);BE34;6;2010;Intentional homicide;1
Prov. Luxembourg (BE);BE34;242;2008;Robbery;1
Prov. Luxembourg (BE);BE34;228;2009;Robbery;1
Prov. Luxembourg (BE);BE34;228;2010;Robbery;1
Prov. Luxembourg (BE);BE34;1214;2008;Burglary of private residential premises;1
Prov. Luxembourg (BE);BE34;1441;2009;Burglary of private residential premises;1
Prov. Luxembourg (BE);BE34;1219;2010;Burglary of private residential premises;1
Prov. Luxembourg (BE);BE34;513;2008;Theft of a motorized land vehicle;1
Prov. Luxembourg (BE);BE34;528;2009;Theft of a motorized land vehicle;1
Prov. Luxembourg (BE);BE34;413;2010;Theft of a motorized land vehicle;1
Prov. Namur;BE35;5;2008;Intentional homicide;1
Prov. Namur;BE35;9;2009;Intentional homicide;1
Prov. Namur;BE35;9;2010;Intentional homicide;1
Prov. Namur;BE35;549;2008;Robbery;1
Prov. Namur;BE35;634;2009;Robbery;1
Prov. Namur;BE35;619;2010;Robbery;1
Prov. Namur;BE35;2889;2008;Burglary of private residential premises;1
Prov. Namur;BE35;2870;2009;Burglary of private residential premises;1
Prov. Namur;BE35;2954;2010;Burglary of private residential premises;1
Prov. Namur;BE35;879;2008;Theft of a motorized land vehicle;1
Prov. Namur;BE35;844;2009;Theft of a motorized land vehicle;1
Prov. Namur;BE35;783;2010;Theft of a motorized land vehicle;1
Région lémanique;CH01;11;2009;Intentional homicide;1
Région lémanique;CH01;10;2010;Intentional homicide;1
Région lémanique;CH01;1082;2009;Robbery;1
Région lémanique;CH01;1028;2010;Robbery;1
Région lémanique;CH01;8662;2009;Burglary of private residential premises;1
Région lémanique;CH01;8960;2010;Burglary of private residential premises;1
Région lémanique;CH01;3210;2009;Theft of a motorized land vehicle;1
Région lémanique;CH01;2831;2010;Theft of a motorized land vehicle;1
Nordwestschweiz;CH03;11;2009;Intentional homicide;1
Nordwestschweiz;CH03;6;2010;Intentional homicide;1
Nordwestschweiz;CH03;295;2009;Robbery;1
Nordwestschweiz;CH03;330;2010;Robbery;1
Nordwestschweiz;CH03;2527;2009;Burglary of private residential premises;1
Nordwestschweiz;CH03;2143;2010;Burglary of private residential premises;1
Nordwestschweiz;CH03;1319;2009;Theft of a motorized land vehicle;1
Nordwestschweiz;CH03;1134;2010;Theft of a motorized land vehicle;1
Zürich;CH04;9;2009;Intentional homicide;1
Zürich;CH04;14;2010;Intentional homicide;1
Zürich;CH04;884;2009;Robbery;1
Zürich;CH04;624;2010;Robbery;1
Zürich;CH04;6369;2009;Burglary of private residential premises;1
Zürich;CH04;5365;2010;Burglary of private residential premises;1
Zürich;CH04;817;2009;Theft of a motorized land vehicle;1
Zürich;CH04;675;2010;Theft of a motorized land vehicle;1
Zentralschweiz;CH06;5;2009;Intentional homicide;1
Zentralschweiz;CH06;3;2010;Intentional homicide;1
Zentralschweiz;CH06;139;2009;Robbery;1
Zentralschweiz;CH06;153;2010;Robbery;1
Zentralschweiz;CH06;1498;2009;Burglary of private residential premises;1
Zentralschweiz;CH06;1275;2010;Burglary of private residential premises;1
Zentralschweiz;CH06;563;2009;Theft of a motorized land vehicle;1
Zentralschweiz;CH06;472;2010;Theft of a motorized land vehicle;1
Ticino;CH07;2;2009;Intentional homicide;1
Ticino;CH07;2;2010;Intentional homicide;1
Ticino;CH07;56;2009;Robbery;1
Ticino;CH07;71;2010;Robbery;1
Ticino;CH07;1236;2009;Burglary of private residential premises;1
Ticino;CH07;1131;2010;Burglary of private residential premises;1
Ticino;CH07;392;2009;Theft of a motorized land vehicle;1
Ticino;CH07;293;2010;Theft of a motorized land vehicle;1
Cyprus;CY;9;2008;Intentional homicide;1
Cyprus;CY;16;2009;Intentional homicide;1
Cyprus;CY;7;2010;Intentional homicide;1
Cyprus;CY;62;2008;Robbery;1
Cyprus;CY;111;2009;Robbery;1
Cyprus;CY;156;2010;Robbery;1
Cyprus;CY;2576;2008;Burglary of private residential premises;1
Cyprus;CY;2443;2009;Burglary of private residential premises;1
Cyprus;CY;3232;2010;Burglary of private residential premises;1
Cyprus;CY;1786;2008;Theft of a motorized land vehicle;1
Cyprus;CY;2170;2009;Theft of a motorized land vehicle;1
Cyprus;CY;2418;2010;Theft of a motorized land vehicle;1
Praha;CZ01;15;2008;Intentional homicide;1
Praha;CZ01;22;2009;Intentional homicide;1
Praha;CZ01;16;2010;Intentional homicide;1
Praha;CZ01;1020;2008;Robbery;1
Praha;CZ01;1023;2009;Robbery;1
Praha;CZ01;773;2010;Robbery;1
Praha;CZ01;2272;2008;Burglary of private residential premises;1
Praha;CZ01;2536;2009;Burglary of private residential premises;1
Praha;CZ01;2753;2010;Burglary of private residential premises;1
Praha;CZ01;6344;2008;Theft of a motorized land vehicle;1
Praha;CZ01;4912;2009;Theft of a motorized land vehicle;1
Praha;CZ01;4540;2010;Theft of a motorized land vehicle;1
Severozápad;CZ04;18;2008;Intentional homicide;1
Severozápad;CZ04;10;2009;Intentional homicide;1
Severozápad;CZ04;15;2010;Intentional homicide;1
Severozápad;CZ04;797;2008;Robbery;1
Severozápad;CZ04;727;2009;Robbery;1
Severozápad;CZ04;630;2010;Robbery;1
Severozápad;CZ04;946;2008;Burglary of private residential premises;1
Severozápad;CZ04;1032;2009;Burglary of private residential premises;1
Severozápad;CZ04;1175;2010;Burglary of private residential premises;1
Severozápad;CZ04;2265;2008;Theft of a motorized land vehicle;1
Severozápad;CZ04;1752;2009;Theft of a motorized land vehicle;1
Severozápad;CZ04;1594;2010;Theft of a motorized land vehicle;1
Strední Morava;CZ07;12;2008;Intentional homicide;1
Strední Morava;CZ07;17;2009;Intentional homicide;1
Strední Morava;CZ07;13;2010;Intentional homicide;1
Strední Morava;CZ07;321;2008;Robbery;1
Strední Morava;CZ07;315;2009;Robbery;1
Strední Morava;CZ07;329;2010;Robbery;1
Strední Morava;CZ07;641;2008;Burglary of private residential premises;1
Strední Morava;CZ07;567;2009;Burglary of private residential premises;1
Strední Morava;CZ07;593;2010;Burglary of private residential premises;1
Strední Morava;CZ07;871;2008;Theft of a motorized land vehicle;1
Strední Morava;CZ07;761;2009;Theft of a motorized land vehicle;1
Strední Morava;CZ07;730;2010;Theft of a motorized land vehicle;1
Moravskoslezsko;CZ08;15;2008;Intentional homicide;1
Moravskoslezsko;CZ08;16;2009;Intentional homicide;1
Moravskoslezsko;CZ08;12;2010;Intentional homicide;1
Moravskoslezsko;CZ08;663;2008;Robbery;1
Moravskoslezsko;CZ08;672;2009;Robbery;1
Moravskoslezsko;CZ08;568;2010;Robbery;1
Moravskoslezsko;CZ08;902;2008;Burglary of private residential premises;1
Moravskoslezsko;CZ08;1037;2009;Burglary of private residential premises;1
Moravskoslezsko;CZ08;987;2010;Burglary of private residential premises;1
Moravskoslezsko;CZ08;1039;2008;Theft of a motorized land vehicle;1
Moravskoslezsko;CZ08;917;2009;Theft of a motorized land vehicle;1
Moravskoslezsko;CZ08;917;2010;Theft of a motorized land vehicle;1
Berlin;DE3;49;2008;Intentional homicide;1
Berlin;DE3;62;2009;Intentional homicide;1
Berlin;DE3;41;2010;Intentional homicide;1
Berlin;DE3;6461;2008;Robbery;1
Berlin;DE3;6297;2009;Robbery;1
Berlin;DE3;5997;2010;Robbery;1
Berlin;DE3;8228;2008;Burglary of private residential premises;1
Berlin;DE3;9028;2009;Burglary of private residential premises;1
Berlin;DE3;8713;2010;Burglary of private residential premises;1
Berlin;DE3;8049;2008;Theft of a motorized land vehicle;1
Berlin;DE3;9921;2009;Theft of a motorized land vehicle;1
Berlin;DE3;9807;2010;Theft of a motorized land vehicle;1
Bremen;DE5;4;2008;Intentional homicide;1
Bremen;DE5;9;2009;Intentional homicide;1
Bremen;DE5;10;2010;Intentional homicide;1
Bremen;DE5;1355;2008;Robbery;1
Bremen;DE5;1240;2009;Robbery;1
Bremen;DE5;1268;2010;Robbery;1
Bremen;DE5;2876;2008;Burglary of private residential premises;1
Bremen;DE5;3402;2009;Burglary of private residential premises;1
Bremen;DE5;2877;2010;Burglary of private residential premises;1
Bremen;DE5;1041;2008;Theft of a motorized land vehicle;1
Bremen;DE5;956;2009;Theft of a motorized land vehicle;1
Bremen;DE5;915;2010;Theft of a motorized land vehicle;1
Hamburg;DE6;22;2008;Intentional homicide;1
Hamburg;DE6;18;2009;Intentional homicide;1
Hamburg;DE6;18;2010;Intentional homicide;1
Hamburg;DE6;3005;2008;Robbery;1
Hamburg;DE6;2971;2009;Robbery;1
Hamburg;DE6;2650;2010;Robbery;1
Hamburg;DE6;6811;2008;Burglary of private residential premises;1
Hamburg;DE6;7006;2009;Burglary of private residential premises;1
Hamburg;DE6;7536;2010;Burglary of private residential premises;1
Hamburg;DE6;3364;2008;Theft of a motorized land vehicle;1
Hamburg;DE6;3373;2009;Theft of a motorized land vehicle;1
Hamburg;DE6;3453;2010;Theft of a motorized land vehicle;1
Saarland;DEC;7;2008;Intentional homicide;1
Saarland;DEC;5;2009;Intentional homicide;1
Saarland;DEC;16;2010;Intentional homicide;1
Saarland;DEC;545;2008;Robbery;1
Saarland;DEC;547;2009;Robbery;1
Saarland;DEC;546;2010;Robbery;1
Saarland;DEC;1746;2008;Burglary of private residential premises;1
Saarland;DEC;1610;2009;Burglary of private residential premises;1
Saarland;DEC;1696;2010;Burglary of private residential premises;1
Saarland;DEC;1345;2008;Theft of a motorized land vehicle;1
Saarland;DEC;965;2009;Theft of a motorized land vehicle;1
Saarland;DEC;818;2010;Theft of a motorized land vehicle;1
Hovedstaden;DK01;22;2008;Intentional homicide;1
Hovedstaden;DK01;23;2009;Intentional homicide;1
Hovedstaden;DK01;21;2010;Intentional homicide;1
Hovedstaden;DK01;4966;2008;Robbery;1
Hovedstaden;DK01;7078;2009;Robbery;1
Hovedstaden;DK01;7623;2010;Robbery;1
Hovedstaden;DK01;12182;2008;Burglary of private residential premises;1
Hovedstaden;DK01;16168;2009;Burglary of private residential premises;1
Hovedstaden;DK01;15625;2010;Burglary of private residential premises;1
Hovedstaden;DK01;7741;2008;Theft of a motorized land vehicle;1
Hovedstaden;DK01;7562;2009;Theft of a motorized land vehicle;1
Hovedstaden;DK01;5992;2010;Theft of a motorized land vehicle;1
Sjælland;DK02;16;2008;Intentional homicide;1
Sjælland;DK02;13;2009;Intentional homicide;1
Sjælland;DK02;18;2010;Intentional homicide;1
Sjælland;DK02;1168;2008;Robbery;1
Sjælland;DK02;1202;2009;Robbery;1
Sjælland;DK02;1127;2010;Robbery;1
Sjælland;DK02;8249;2008;Burglary of private residential premises;1
Sjælland;DK02;8866;2009;Burglary of private residential premises;1
Sjælland;DK02;7741;2010;Burglary of private residential premises;1
Sjælland;DK02;4618;2008;Theft of a motorized land vehicle;1
Sjælland;DK02;4085;2009;Theft of a motorized land vehicle;1
Sjælland;DK02;3280;2010;Theft of a motorized land vehicle;1
Nordjylland;DK05;7;2008;Intentional homicide;1
Nordjylland;DK05;6;2009;Intentional homicide;1
Nordjylland;DK05;3;2010;Intentional homicide;1
Nordjylland;DK05;687;2008;Robbery;1
Nordjylland;DK05;628;2009;Robbery;1
Nordjylland;DK05;593;2010;Robbery;1
Nordjylland;DK05;3605;2008;Burglary of private residential premises;1
Nordjylland;DK05;3839;2009;Burglary of private residential premises;1
Nordjylland;DK05;3343;2010;Burglary of private residential premises;1
Nordjylland;DK05;2997;2008;Theft of a motorized land vehicle;1
Nordjylland;DK05;2658;2009;Theft of a motorized land vehicle;1
Nordjylland;DK05;2167;2010;Theft of a motorized land vehicle;1
Cantabria;ES13;2;2008;Intentional homicide;1
Cantabria;ES13;7;2009;Intentional homicide;1
Cantabria;ES13;2;2010;Intentional homicide;1
Cantabria;ES13;333;2008;Robbery;1
Cantabria;ES13;344;2009;Robbery;1
Cantabria;ES13;397;2010;Robbery;1
Cantabria;ES13;377;2008;Burglary of private residential premises;1
Cantabria;ES13;537;2009;Burglary of private residential premises;1
Cantabria;ES13;604;2010;Burglary of private residential premises;1
Cantabria;ES13;460;2008;Theft of a motorized land vehicle;1
Cantabria;ES13;434;2009;Theft of a motorized land vehicle;1
Cantabria;ES13;396;2010;Theft of a motorized land vehicle;1
País Vasco;ES21;9;2008;Intentional homicide;1
País Vasco;ES21;15;2009;Intentional homicide;1
País Vasco;ES21;10;2010;Intentional homicide;1
País Vasco;ES21;3094;2008;Robbery;1
País Vasco;ES21;3481;2009;Robbery;1
País Vasco;ES21;2791;2010;Robbery;1
País Vasco;ES21;3138;2008;Burglary of private residential premises;1
País Vasco;ES21;3298;2009;Burglary of private residential premises;1
País Vasco;ES21;4366;2010;Burglary of private residential premises;1
País Vasco;ES21;1545;2008;Theft of a motorized land vehicle;1
